country,year,gdp_change_%,lu,lp,lp_%,lpc,lpc_%,ls,lsc,lsc_%,lh,lhc,lhc_%,yr_sch,yr_sch_%,yr_sch_pri,yr_sch_pri_%,yr_sch_sec,yr_sch_sec_%,yr_sch_ter,yr_sch_ter_%,pop,pop_%
Albania,1980,14.384,27.0,30.4,-9.253731343283588,22.5,-5.462184873949583,37.2,15.2,35.71428571428572,5.4,3.3,31.999999999999986,5.51,26.376146788990805,3.33,31.10236220472442,2.01,18.934911242603537,0.17,30.76923076923077,1001,16.939252336448597
Albania,1985,11.700000000000001,18.9,25.9,-14.802631578947366,19.4,-13.77777777777779,49.2,20.8,36.8421052631579,6.0,4.0,21.212121212121215,6.81,23.593466424682386,4.19,25.825825825825845,2.42,20.398009950248763,0.2,17.647058823529417,1175,17.382617382617394
Albania,1990,-26.200000000000003,12.8,22.3,-13.899613899613893,17.0,-12.371134020618547,58.3,25.7,23.557692307692292,6.6,4.4,10.000000000000009,7.91,16.15271659324524,5.15,22.911694510739842,2.55,5.371900826446274,0.22,9.999999999999986,1395,18.723404255319153
Albania,1995,28.796,15.4,16.0,-28.251121076233186,12.7,-25.294117647058822,61.9,27.0,5.058365758754868,6.6,4.4,0.0,8.15,3.034134007585343,5.41,5.048543689320373,2.52,-1.17647058823529,0.22,0.0,1415,1.4336917562723928
Albania,2000,30.82,0.6,14.9,-6.874999999999998,12.5,-1.5748031496062964,76.6,33.1,22.59259259259261,8.0,5.4,22.72727272727273,9.85,20.858895705521462,6.57,21.441774491682075,3.01,19.444444444444443,0.27,22.72727272727273,1399,-1.1307420494699683
Albania,2005,28.266,1.1,9.2,-38.25503355704699,8.5,-31.999999999999996,85.0,38.5,16.31419939577039,4.8,3.2,-40.74074074074075,10.2,3.5532994923857864,6.97,6.0882800608828,3.07,1.9933554817275656,0.16,-40.74074074074075,1444,3.216583273766971
Albania,2010,10.446,1.5,4.2,-54.347826086956516,4.1,-51.76470588235295,92.4,46.8,21.558441558441555,1.9,1.2,-62.5,10.55,3.431372549019618,7.32,5.021520803443336,3.17,3.2573289902280145,0.06,-62.5,1540,6.648199445983383
Algeria,1980,15.0,67.7,23.6,33.33333333333335,3.7,15.625,7.7,5.4,58.82352941176472,1.0,0.6,100.0,1.91,44.69696969696968,1.34,39.58333333333335,0.54,58.823529411764696,0.03,50.0,5793,21.82965299684543
Algeria,1985,7.6,58.0,29.5,25.0,10.5,183.78378378378378,10.4,7.6,40.74074074074072,2.1,1.3,116.6666666666667,2.81,47.12041884816755,1.95,45.52238805970148,0.79,46.296296296296305,0.07,133.33333333333334,6881,18.78128776109098
Algeria,1990,-1.8019999999999996,47.9,34.4,16.61016949152543,13.9,32.38095238095238,14.2,10.7,40.789473684210535,3.5,2.2,69.23076923076923,3.76,33.807829181494654,2.51,28.717948717948705,1.13,43.03797468354429,0.12,71.4285714285714,8334,21.116116843482047
