country,Code,year,gdp_change_%,literacy_rate_%,literacy_change_%
Afghanistan,AFG,2011,6.479,31.44885,
Afghanistan,AFG,2021,-20.737,37.26604,18.497305942824617
Albania,ALB,2001,8.293,98.71298,
Albania,ALB,2008,7.5,95.93864,-2.8105118496068004
Albania,ALB,2011,2.545,96.8453,0.945041539050373
Albania,ALB,2012,1.418,97.24697,0.41475425240049546
Albania,ALB,2018,4.019,98.14115,0.9194939441300676
Albania,ALB,2021,8.909,98.45,0.31469979717988483
Algeria,DZA,1987,-0.7,49.63088,
Algeria,DZA,2002,5.6,69.8735,40.78634108442165
Algeria,DZA,2006,1.684,72.64868,3.9717203231554032
Algeria,DZA,2008,2.36,75.13605,3.423833715905089
Algeria,DZA,2018,1.2,81.40784,8.347244764663554
Angola,AGO,2001,4.206,67.40542,
Angola,AGO,2014,4.823,66.03011,-2.040355211791589
Angola,AGO,2021,1.199,72.28,9.465212158513747
Antigua and Barbuda,ATG,2001,-4.548,98.95,
Antigua and Barbuda,ATG,2011,-1.959,98.95,0.0
Antigua and Barbuda,ATG,2015,3.824,98.95,0.0
Argentina,ARG,1980,0.7,93.91286,
Argentina,ARG,1991,10.498,96.04072,2.2657812785171316
Argentina,ARG,2001,-4.409,97.19331,1.2001055385673975
Argentina,ARG,2006,8.047,98.6108,1.458423424410582
Argentina,ARG,2009,-5.919,98.98342,0.3778693611653061
Argentina,ARG,2010,10.125,98.95497,-0.028742187327934765
Argentina,ARG,2011,6.004,99.10833,0.15497958313765992
Argentina,ARG,2012,-1.026,99.10523,-0.0031278904608633695
Argentina,ARG,2013,2.405,99.12195,0.016870956255288228
Argentina,ARG,2014,-2.513,98.99389,-0.12919439135328226
Argentina,ARG,2015,2.731,99.17996,0.18796109537668748
Argentina,ARG,2016,-2.08,99.12501,-0.05540433773112419
Argentina,ARG,2018,-2.617,99.00387,-0.12220931932314105
Armenia,ARM,2001,9.468,99.40016,0.6563920351555508
Armenia,ARM,2011,4.7,99.74441,0.3463274103381764
Armenia,ARM,2016,0.195,99.74441,0.0
Armenia,ARM,2017,7.518,99.73607,-0.008361370827703052
Armenia,ARM,2020,-7.151,99.78861,0.05267903577914623
Aruba,ABW,2000,7.684,97.29125,
Aruba,ABW,2010,-2.733,96.82264,-0.48165688075751945
Aruba,ABW,2018,2.382,97.80742,1.017096827766717
Aruba,ABW,2020,-23.983,97.99,0.18667295385155214
Azerbaijan,AZE,1999,11.396,98.7918,
Azerbaijan,AZE,2007,25.0,99.59319,0.8111908073342278
Azerbaijan,AZE,2009,9.26,99.75984,0.1673307180942718
Azerbaijan,AZE,2010,5.0,99.77114,0.011327203411726217
Azerbaijan,AZE,2011,0.1,99.77863,0.007507180934296365
Azerbaijan,AZE,2012,2.203,99.77577,-0.002866345228447198
Azerbaijan,AZE,2013,5.843,99.78936,0.0136205413398649
Azerbaijan,AZE,2014,2.768,99.78899,-0.0003707810131259315
Azerbaijan,AZE,2015,1.08,99.78806,-0.0009319665425944201
Azerbaijan,AZE,2016,-3.064,99.79006,0.002004247802789294
Azerbaijan,AZE,2017,0.154,99.79123,0.0011724614656039023
